ID;Commune;NMI;Chronologie;ID sujet handicapé;sexe;Age min (an);Age max (an);type de dépôt;type de sépulture;contexte normatif;Contexte de la tombe;Commentaire sur contexte;C14 inf;C14 sup;Réf Labo C14;accessoire vestimentaire et parure ;armement, objet de prestige ;dépôt de récipient (céramique verre…) ;autre mobilier;description autre mobilier;Dépôt de fouille | adresse;ID dans dépôt;iconographie URL;Bibliographie;Atteintes invalidantes
#RC_001;RENNES;456;"Époque moderne [1500 ; 1800] ";SP 170;Femme;20;49;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Quessoy (22);;;Colleter, Rozenn, Henri Dabernat, Gauthier Aubert, Sylvie Duchesne, Fabrice Dedouit, Fatima-Zohra Mokrane, Norbert Telmon, et Éric Crubézy. « Avec ou sans hypothèse? Qu’attendre de la paléoépidémiologie? Exemple à partir de l’étude d’un couvent breton des ordres mendiants ». In Actes du colloque « Archéologie de la santé, Anthroplogie du soin », Inrap, Musée de l’Homme. La Découverte, s. d.;oui
#RL_001;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 5;Femme;20;30;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_002;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 10;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_003;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 26;Femme;20;30;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_004;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 40;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_005;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 56;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;oui;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_006;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 7;Indéterminé;5;9;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_007;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 11;Femme;60;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_008;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 13;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_009;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 14;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_010;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 17;Indéterminé;1;4;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_011;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 21;Indéterminé;5;9;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_012;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 25;Femme;60;99;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_013;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 27;Indéterminé;5;9;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_014;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 28;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_015;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 29;Indéterminé;1;4;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_016;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 32;Femme;30;59;Primaire;Multiple;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_017;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 34;Indéterminé;5;9;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_018;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 35;Indéterminé;1;4;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_019;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 36;Indéterminé;5;9;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_020;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 39;Homme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_021;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 41;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_022;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 44;Femme;30;59;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
#RL_023;Sées;65;"Haut Moyen Âge [500 ; 1000] ";SP 45;Homme;20;29;Primaire;Individuel;Standard;Funéraire;;;;;non;non;non;non;;Base Bourguebus Inrap;;;;oui
